Unnamed: 0,id,address,2gis_stat,ya_stat
0,0,"Иркутск, 1-й Берег Ангары Улица, 10",1.0,1.0
1,1,"Иркутск, 1-й Берег Ангары Улица, 11",1.0,1.0
2,2,"Иркутск, 1-й Берег Ангары Улица, 12",1.0,1.0
3,3,"Иркутск, 1-й Берег Ангары Улица, 13",1.0,1.0
4,4,"Иркутск, 1-й Берег Ангары Улица, 14",1.0,1.0
5,5,"Иркутск, 1-й Берег Ангары Улица, 15",1.0,1.0
6,6,"Иркутск, 1-й Берег Ангары Улица, 16",1.0,1.0
7,7,"Иркутск, 1-й Берег Ангары Улица, 17",1.0,1.0
8,8,"Иркутск, 1-й Берег Ангары Улица, 18",1.0,1.0
9,9,"Иркутск, 1-й Берег Ангары Улица, 19",1.0,1.0
10,10,"Иркутск, 1-й Берег Ангары Улица, 2",1.0,1.0
11,11,"Иркутск, 1-й Берег Ангары Улица, 2/1",1.0,1.0
12,12,"Иркутск, 1-й Берег Ангары Улица, 20",1.0,1.0
13,13,"Иркутск, 1-й Берег Ангары Улица, 22",1.0,1.0
14,14,"Иркутск, 1-й Берег Ангары Улица, 5",1.0,1.0
15,15,"Иркутск, 1-й Берег Ангары Улица, 6",1.0,1.0
16,16,"Иркутск, 1-й Берег Ангары Улица, 8",1.0,1.0
17,17,"Иркутск, 1-й Берег Ангары Улица, 9",1.0,1.0
18,18,"Иркутск, 1-й Берег Ангары Улица, 9а",1.0,1.0
19,19,"Иркутск, 1-й Дачный Переулок, 1",1.0,1.0
20,20,"Иркутск, 1-й Дачный Переулок, 11",1.0,1.0
21,21,"Иркутск, 1-й Дачный Переулок, 13",1.0,1.0
22,22,"Иркутск, 1-й Дачный Переулок, 15",1.0,1.0
23,23,"Иркутск, 1-й Дачный Переулок, 17",1.0,1.0
24,24,"Иркутск, 1-й Дачный Переулок, 2",1.0,1.0
25,25,"Иркутск, 1-й Дачный Переулок, 21",1.0,1.0
26,26,"Иркутск, 1-й Дачный Переулок, 23",1.0,1.0
27,27,"Иркутск, 1-й Дачный Переулок, 27",1.0,1.0
28,28,"Иркутск, 1-й Дачный Переулок, 3",1.0,1.0
29,29,"Иркутск, 1-й Дачный Переулок, 3/1",1.0,1.0
30,30,"Иркутск, 1-й Дачный Переулок, 3/2",1.0,1.0
31,31,"Иркутск, 1-й Дачный Переулок, 33",1.0,1.0
32,32,"Иркутск, 1-й Дачный Переулок, 4",1.0,1.0
33,33,"Иркутск, 1-й Дачный Переулок, 5",1.0,1.0
34,34,"Иркутск, 1-й Дачный Переулок, 7",1.0,1.0
35,35,"Иркутск, 1-й Дачный Переулок, 9",1.0,1.0
36,36,"Иркутск, 1-й Заводской Переулок, 2",1.0,1.0
37,37,"Иркутск, 1-й Заводской Переулок, 2а",1.0,1.0
38,38,"Иркутск, 1-й Заводской Переулок, 4",1.0,1.0
39,39,"Иркутск, 1-й Заводской Переулок, 4а",1.0,1.0
40,40,"Иркутск, 1-й Заводской Переулок, 7",1.0,1.0
41,41,"Иркутск, 1-й Западный Переулок, 10",1.0,1.0
42,42,"Иркутск, 1-й Западный Переулок, 11",1.0,1.0
43,43,"Иркутск, 1-й Западный Переулок, 3",1.0,1.0
44,44,"Иркутск, 1-й Западный Переулок, 4",1.0,1.0
45,45,"Иркутск, 1-й Западный Переулок, 5",1.0,1.0
46,46,"Иркутск, 1-й Западный Переулок, 6",1.0,1.0
47,47,"Иркутск, 1-й Западный Переулок, 7_9",1.0,-1.0
48,48,"Иркутск, 1-й Западный Переулок, 8",1.0,1.0
49,49,"Иркутск, 1-й Кузьмихинский Переулок, 6",1.0,1.0
50,50,"Иркутск, 1-й Ленинградский Переулок, 1",1.0,1.0
51,51,"Иркутск, 1-й Ленинградский Переулок, 10",1.0,1.0
52,52,"Иркутск, 1-й Ленинградский Переулок, 10а",1.0,1.0
53,53,"Иркутск, 1-й Ленинградский Переулок, 11",1.0,1.0
